sample_id,file_path,category,subcategory,instrument,tags,duration,sample_rate,source,source_id,license,pitch,dynamic,technique,description
nature_weather_rain_0025,data/corpus/nature/weather/nature_weather_rain_0025.wav,nature,weather,rain,Raindrop;Drip;Rain;Water;Liquid,0.758,22050,FSD50K,177156.wav,CC-BY,,,,rain from FSD50K (Raindrop)
music_electronic_instrument_0110,data/corpus/music/electronic/music_electronic_instrument_0110.wav,music,electronic,instrument,Wind_instrument_and_woodwind_instrument;Musical_instrument;Music,7.924,22050,FSD50K,177244.wav,CC-BY,,,,instrument from FSD50K (Musical_instrument)
music_voice_singing_0009,data/corpus/music/voice/music_voice_singing_0009.wav,music,voice,singing,Singing;Human_voice,7.587,22050,FSD50K,177252.wav,CC-BY,,,,singing from FSD50K (Singing)
nature_human_applause_0026,data/corpus/nature/human/nature_human_applause_0026.wav,nature,human,applause,Applause;Crowd;Cheering;Human_group_actions,13.394,22050,FSD50K,17737.wav,CC-BY,,,,applause from FSD50K (Applause)
nature_water_stream_0017,data/corpus/nature/water/nature_water_stream_0017.wav,nature,water,stream,Stream;Gurgling;Splash_and_splatter;Water;Liquid,15.446,22050,FSD50K,17741.wav,CC-BY,,,,stream from FSD50K (Stream)
nature_fire_crackle_0020,data/corpus/nature/fire/nature_fire_crackle_0020.wav,nature,fire,crackle,Crackle;Fire,9.409,22050,FSD50K,17742.wav,CC-BY,,,,crackle from FSD50K (Crackle)
nature_animal_mammal_0033,data/corpus/nature/animal/nature_animal_mammal_0033.wav,nature,animal,mammal,Wild_animals;Animal,2.09,22050,FSD50K,177426.wav,CC-BY,,,,mammal from FSD50K (Wild_animals)
music_woodwind_harmonica_0005,data/corpus/music/woodwind/music_woodwind_harmonica_0005.wav,music,woodwind,harmonica,Harmonica;Stream;Breathing;Musical_instrument;Music;Water;Respiratory_sounds,25.841,22050,FSD50K,17747.wav,CC-BY,,,,harmonica from FSD50K (Harmonica)
nature_fire_fire_0004,data/corpus/nature/fire/nature_fire_fire_0004.wav,nature,fire,fire,Fire,2.649,22050,FSD50K,17748.wav,CC-BY,,,,fire from FSD50K (Fire)
nature_water_water_0012,data/corpus/nature/water/nature_water_water_0012.wav,nature,water,water,Water;Splash_and_splatter;Liquid,7.458,22050,FSD50K,17751.wav,CC-BY,,,,water from FSD50K (Water)
nature_weather_wind_0017,data/corpus/nature/weather/nature_weather_wind_0017.wav,nature,weather,wind,Wind_chime;Wind;Chime;Bell,27.0,22050,FSD50K,17756.wav,CC-BY,,,,wind from FSD50K (Wind)
music_voice_male_singing_0012,data/corpus/music/voice/music_voice_male_singing_0012.wav,music,voice,male_singing,Male_singing;Singing;Human_voice,15.935,22050,FSD50K,177619.wav,CC-BY,,,,male_singing from FSD50K (Male_singing)
music_keyboard_piano_0029,data/corpus/music/keyboard/music_keyboard_piano_0029.wav,music,keyboard,piano,Piano;Keyboard_(musical);Musical_instrument;Music,8.62,22050,FSD50K,177828.wav,CC-BY,,,,piano from FSD50K (Piano)
urban_impact_shatter_0014,data/corpus/urban/impact/urban_impact_shatter_0014.wav,urban,impact,shatter,Shatter;Chink_and_clink;Glass,4.997,22050,FSD50K,177959.wav,CC-BY,,,,shatter from FSD50K (Shatter)
nature_animal_dog_0017,data/corpus/nature/animal/nature_animal_dog_0017.wav,nature,animal,dog,Bark;Chirp_and_tweet;Dog;Domestic_animals_and_pets;Animal;Bird_vocalization_and_bird_call_and_bird_song;Bird;Wild_animals,13.13,22050,FSD50K,17810.wav,CC-BY,,,,dog from FSD50K (Bark)
music_percussion_tabla_0012,data/corpus/music/percussion/music_percussion_tabla_0012.wav,music,percussion,tabla,Tabla;Drum;Percussion;Musical_instrument;Music,9.143,22050,FSD50K,178176.wav,CC-BY,,,,tabla from FSD50K (Tabla)
music_electronic_instrument_0111,data/corpus/music/electronic/music_electronic_instrument_0111.wav,music,electronic,instrument,Harp;Musical_instrument;Music,12.616,22050,FSD50K,178203.wav,CC-BY,,,,instrument from FSD50K (Musical_instrument)
music_electronic_instrument_0112,data/corpus/music/electronic/music_electronic_instrument_0112.wav,music,electronic,instrument,Harp;Musical_instrument;Music,14.827,22050,FSD50K,178204.wav,CC-BY,,,,instrument from FSD50K (Musical_instrument)
music_electronic_instrument_0113,data/corpus/music/electronic/music_electronic_instrument_0113.wav,music,electronic,instrument,Harp;Musical_instrument;Music,13.119,22050,FSD50K,178205.wav,CC-BY,,,,instrument from FSD50K (Musical_instrument)
music_electronic_instrument_0114,data/corpus/music/electronic/music_electronic_instrument_0114.wav,music,electronic,instrument,Harp;Musical_instrument;Music,16.779,22050,FSD50K,178206.wav,CC-BY,,,,instrument from FSD50K (Musical_instrument)
music_electronic_instrument_0115,data/corpus/music/electronic/music_electronic_instrument_0115.wav,music,electronic,instrument,Harp;Musical_instrument;Music,14.784,22050,FSD50K,178210.wav,CC-BY,,,,instrument from FSD50K (Musical_instrument)
music_electronic_instrument_0116,data/corpus/music/electronic/music_electronic_instrument_0116.wav,music,electronic,instrument,Harp;Musical_instrument;Music,12.779,22050,FSD50K,178212.wav,CC-BY,,,,instrument from FSD50K (Musical_instrument)
music_electronic_instrument_0117,data/corpus/music/electronic/music_electronic_instrument_0117.wav,music,electronic,instrument,Harp;Musical_instrument;Music,12.569,22050,FSD50K,178214.wav,CC-BY,,,,instrument from FSD50K (Musical_instrument)
music_electronic_instrument_0118,data/corpus/music/electronic/music_electronic_instrument_0118.wav,music,electronic,instrument,Harp;Musical_instrument;Music,12.339,22050,FSD50K,178215.wav,CC-BY,,,,instrument from FSD50K (Musical_instrument)
music_electronic_instrument_0119,data/corpus/music/electronic/music_electronic_instrument_0119.wav,music,electronic,instrument,Harp;Musical_instrument;Music,13.696,22050,FSD50K,178216.wav,CC-BY,,,,instrument from FSD50K (Musical_instrument)
nature_human_screaming_0012,data/corpus/nature/human/nature_human_screaming_0012.wav,nature,human,screaming,Screaming;Human_voice,3.402,22050,FSD50K,178313.wav,CC-BY,,,,screaming from FSD50K (Screaming)
music_electronic_instrument_0120,data/corpus/music/electronic/music_electronic_instrument_0120.wav,music,electronic,instrument,Ringtone;Keyboard_(musical);Musical_instrument;Music;Telephone;Alarm,3.714,22050,FSD50K,178377.wav,CC-BY,,,,instrument from FSD50K (Musical_instrument)
urban_domestic_dishes_0023,data/corpus/urban/domestic/urban_domestic_dishes_0023.wav,urban,domestic,dishes,Dishes_and_pots_and_pans;Microwave_oven;Glass;Liquid;Domestic_sounds_and_home_sounds,12.307,22050,FSD50K,178398.wav,CC-BY,,,,dishes from FSD50K (Dishes_and_pots_and_pans)
urban_machine_engine_0039,data/corpus/urban/machine/urban_machine_engine_0039.wav,urban,machine,engine,Engine;Domestic_sounds_and_home_sounds,12.229,22050,FSD50K,178399.wav,CC-BY,,,,engine from FSD50K (Engine)
urban_impact_squeak_0045,data/corpus/urban/impact/urban_impact_squeak_0045.wav,urban,impact,squeak,Squeak,1.486,22050,FSD50K,178412.wav,CC-BY,,,,squeak from FSD50K (Squeak)
urban_domestic_microwave_0015,data/corpus/urban/domestic/urban_domestic_microwave_0015.wav,urban,domestic,microwave,Microwave_oven;Domestic_sounds_and_home_sounds,2.526,22050,FSD50K,178413.wav,CC-BY,,,,microwave from FSD50K (Microwave_oven)
nature_water_drip_0018,data/corpus/nature/water/nature_water_drip_0018.wav,nature,water,drip,Drip;Water_tap_and_faucet;Liquid;Domestic_sounds_and_home_sounds,21.795,22050,FSD50K,178417.wav,CC-BY,,,,drip from FSD50K (Drip)
urban_human_writing_0010,data/corpus/urban/human/urban_human_writing_0010.wav,urban,human,writing,Writing;Domestic_sounds_and_home_sounds,13.247,22050,FSD50K,178445.wav,CC-BY,,,,writing from FSD50K (Writing)
urban_machine_engine_0040,data/corpus/urban/machine/urban_machine_engine_0040.wav,urban,machine,engine,Engine;Domestic_sounds_and_home_sounds,12.4,22050,FSD50K,178493.wav,CC-BY,,,,engine from FSD50K (Engine)
nature_animal_dog_0018,data/corpus/nature/animal/nature_animal_dog_0018.wav,nature,animal,dog,Bark;Growling;Dog;Domestic_animals_and_pets;Animal,19.494,22050,FSD50K,178497.wav,CC-BY,,,,dog from FSD50K (Bark)
nature_human_laughing_0019,data/corpus/nature/human/nature_human_laughing_0019.wav,nature,human,laughing,Giggle;Laughter;Human_voice,23.845,22050,FSD50K,178559.wav,CC-BY,,,,laughing from FSD50K (Laughter)
nature_human_laughing_0020,data/corpus/nature/human/nature_human_laughing_0020.wav,nature,human,laughing,Giggle;Laughter;Human_voice,20.644,22050,FSD50K,178560.wav,CC-BY,,,,laughing from FSD50K (Laughter)
nature_human_laughing_0021,data/corpus/nature/human/nature_human_laughing_0021.wav,nature,human,laughing,Giggle;Laughter;Human_voice,23.059,22050,FSD50K,178565.wav,CC-BY,,,,laughing from FSD50K (Laughter)
nature_human_burping_0013,data/corpus/nature/human/nature_human_burping_0013.wav,nature,human,burping,Burping_and_eructation,0.861,22050,FSD50K,178612.wav,CC-BY,,,,burping from FSD50K (Burping_and_eructation)
nature_weather_wind_0018,data/corpus/nature/weather/nature_weather_wind_0018.wav,nature,weather,wind,Wind,1.115,22050,FSD50K,178615.wav,CC-BY,,,,wind from FSD50K (Wind)
nature_weather_rain_0026,data/corpus/nature/weather/nature_weather_rain_0026.wav,nature,weather,rain,Raindrop;Thunder;Rain;Water;Thunderstorm,23.406,22050,FSD50K,178632.wav,CC-BY,,,,rain from FSD50K (Raindrop)
urban_impact_squeak_0046,data/corpus/urban/impact/urban_impact_squeak_0046.wav,urban,impact,squeak,Squeak;Cupboard_open_or_close;Domestic_sounds_and_home_sounds,4.642,22050,FSD50K,178752.wav,CC-BY,,,,squeak from FSD50K (Squeak)
urban_impact_slam_0027,data/corpus/urban/impact/urban_impact_slam_0027.wav,urban,impact,slam,Slam;Door;Domestic_sounds_and_home_sounds,11.093,22050,FSD50K,178885.wav,CC-BY,,,,slam from FSD50K (Slam)
urban_machine_revving_0017,data/corpus/urban/machine/urban_machine_revving_0017.wav,urban,machine,revving,Accelerating_and_revving_and_vroom;Car;Motor_vehicle_(road);Vehicle;Engine,7.239,22050,FSD50K,178889.wav,CC-BY,,,,revving from FSD50K (Accelerating_and_revving_and_vroom)
nature_human_speech_female_0023,data/corpus/nature/human/nature_human_speech_female_0023.wav,nature,human,speech_female,Female_speech_and_woman_speaking;Chatter;Sliding_door;Alarm;Train;Speech;Human_voice;Rail_transport;Vehicle;Human_group_actions;Door;Domestic_sounds_and_home_sounds,13.708,22050,FSD50K,178898.wav,CC-BY,,,,speech_female from FSD50K (Female_speech_and_woman_speaking)
urban_transport_train_0014,data/corpus/urban/transport/urban_transport_train_0014.wav,urban,transport,train,Hiss;Train;Rail_transport;Vehicle;Water,5.0,22050,FSD50K,178900.wav,CC-BY,,,,train from FSD50K (Train)
urban_machine_printer_0014,data/corpus/urban/machine/urban_machine_printer_0014.wav,urban,machine,printer,Printer;Mechanisms,6.316,22050,FSD50K,17894.wav,CC-BY,,,,printer from FSD50K (Printer)
urban_alarm_alarm_0053,data/corpus/urban/alarm/urban_alarm_alarm_0053.wav,urban,alarm,alarm,Telephone;Alarm,3.971,22050,FSD50K,17895.wav,CC-BY,,,,alarm from FSD50K (Alarm)
nature_weather_wind_0019,data/corpus/nature/weather/nature_weather_wind_0019.wav,nature,weather,wind,Wind;Camera;Mechanisms,22.475,22050,FSD50K,179045.wav,CC-BY,,,,wind from FSD50K (Wind)
nature_human_laughing_0022,data/corpus/nature/human/nature_human_laughing_0022.wav,nature,human,laughing,Laughter;Human_voice,2.626,22050,FSD50K,1791.wav,CC-BY,,,,laughing from FSD50K (Laughter)
nature_animal_bird_0063,data/corpus/nature/animal/nature_animal_bird_0063.wav,nature,animal,bird,Chirp_and_tweet;Livestock_and_farm_animals_and_working_animals;Fowl;Bird_vocalization_and_bird_call_and_bird_song;Bird;Wild_animals;Animal,13.04,22050,FSD50K,179111.wav,CC-BY,,,,bird from FSD50K (Chirp_and_tweet)
urban_alarm_car_horn_0009,data/corpus/urban/alarm/urban_alarm_car_horn_0009.wav,urban,alarm,car_horn,Vehicle_horn_and_car_horn_and_honking;Train;Alarm;Car;Motor_vehicle_(road);Vehicle;Rail_transport,13.04,22050,FSD50K,179113.wav,CC-BY,,,,car_horn from FSD50K (Vehicle_horn_and_car_horn_and_honking)
nature_human_applause_0027,data/corpus/nature/human/nature_human_applause_0027.wav,nature,human,applause,Applause;Clapping;Human_group_actions;Hands,23.491,22050,FSD50K,179127.wav,CC-BY,,,,applause from FSD50K (Applause)
nature_human_laughing_0023,data/corpus/nature/human/nature_human_laughing_0023.wav,nature,human,laughing,Giggle;Laughter;Human_voice,1.487,22050,FSD50K,1792.wav,CC-BY,,,,laughing from FSD50K (Laughter)
nature_animal_bird_0064,data/corpus/nature/animal/nature_animal_bird_0064.wav,nature,animal,bird,Chirp_and_tweet;Wind;Bicycle;Bird_vocalization_and_bird_call_and_bird_song;Bird;Wild_animals;Animal;Vehicle,6.192,22050,FSD50K,17923.wav,CC-BY,,,,bird from FSD50K (Chirp_and_tweet)
urban_machine_engine_0041,data/corpus/urban/machine/urban_machine_engine_0041.wav,urban,machine,engine,Car_passing_by;Engine;Car;Motor_vehicle_(road);Vehicle,5.476,22050,FSD50K,17926.wav,CC-BY,,,,engine from FSD50K (Engine)
music_electronic_instrument_0121,data/corpus/music/electronic/music_electronic_instrument_0121.wav,music,electronic,instrument,Scratching_(performance_technique);Musical_instrument;Music,3.538,22050,FSD50K,179308.wav,CC-BY,,,,instrument from FSD50K (Musical_instrument)
nature_human_breathing_0008,data/corpus/nature/human/nature_human_breathing_0008.wav,nature,human,breathing,Breathing;Respiratory_sounds,3.36,22050,FSD50K,179312.wav,CC-BY,,,,breathing from FSD50K (Breathing)
nature_water_splash_0010,data/corpus/nature/water/nature_water_splash_0010.wav,nature,water,splash,Splash_and_splatter;Fowl;Liquid;Livestock_and_farm_animals_and_working_animals;Animal,5.56,22050,FSD50K,179337.wav,CC-BY,,,,splash from FSD50K (Splash_and_splatter)
urban_human_footsteps_0027,data/corpus/urban/human/urban_human_footsteps_0027.wav,urban,human,footsteps,Walk_and_footsteps;Wind,5.34,22050,FSD50K,179339.wav,CC-BY,,,,footsteps from FSD50K (Walk_and_footsteps)
nature_water_water_0013,data/corpus/nature/water/nature_water_water_0013.wav,nature,water,water,Water;Bird;Splash_and_splatter;Fowl;Wild_animals;Animal;Liquid;Livestock_and_farm_animals_and_working_animals,8.541,22050,FSD50K,179340.wav,CC-BY,,,,water from FSD50K (Water)
nature_animal_bird_0065,data/corpus/nature/animal/nature_animal_bird_0065.wav,nature,animal,bird,Traffic_noise_and_roadway_noise;Bird_vocalization_and_bird_call_and_bird_song;Fowl;Bird;Wild_animals;Animal;Motor_vehicle_(road);Vehicle;Livestock_and_farm_animals_and_working_animals,14.614,22050,FSD50K,179342.wav,CC-BY,,,,bird from FSD50K (Bird)
nature_animal_frog_0005,data/corpus/nature/animal/nature_animal_frog_0005.wav,nature,animal,frog,Traffic_noise_and_roadway_noise;Bird_vocalization_and_bird_call_and_bird_song;Frog;Fowl;Bird;Wild_animals;Animal;Motor_vehicle_(road);Vehicle;Livestock_and_farm_animals_and_working_animals,4.951,22050,FSD50K,179343.wav,CC-BY,,,,frog from FSD50K (Frog)
nature_human_chatter_0046,data/corpus/nature/human/nature_human_chatter_0046.wav,nature,human,chatter,Chatter;Water;Train;Rail_transport;Vehicle;Human_group_actions,15.136,22050,FSD50K,179349.wav,CC-BY,,,,chatter from FSD50K (Chatter)
nature_human_speech_female_0024,data/corpus/nature/human/nature_human_speech_female_0024.wav,nature,human,speech_female,Female_speech_and_woman_speaking;Human_group_actions;Train;Shout;Speech;Human_voice;Rail_transport;Vehicle,4.258,22050,FSD50K,179352.wav,CC-BY,,,,speech_female from FSD50K (Female_speech_and_woman_speaking)
urban_machine_fan_0014,data/corpus/urban/machine/urban_machine_fan_0014.wav,urban,machine,fan,Mechanical_fan;Mechanisms,23.583,22050,FSD50K,179355.wav,CC-BY,,,,fan from FSD50K (Mechanical_fan)
nature_water_stream_0018,data/corpus/nature/water/nature_water_stream_0018.wav,nature,water,stream,Stream;Trickle_and_dribble;Water;Pour;Liquid,22.227,22050,FSD50K,179361.wav,CC-BY,,,,stream from FSD50K (Stream)
nature_water_stream_0019,data/corpus/nature/water/nature_water_stream_0019.wav,nature,water,stream,Stream;Water,14.149,22050,FSD50K,179364.wav,CC-BY,,,,stream from FSD50K (Stream)
urban_alarm_church_bell_0010,data/corpus/urban/alarm/urban_alarm_church_bell_0010.wav,urban,alarm,church_bell,Church_bell;Bird_vocalization_and_bird_call_and_bird_song;Bird;Wild_animals;Animal;Bell,15.015,22050,FSD50K,179371.wav,CC-BY,,,,church_bell from FSD50K (Church_bell)
urban_human_typing_0015,data/corpus/urban/human/urban_human_typing_0015.wav,urban,human,typing,Computer_keyboard;Typing;Domestic_sounds_and_home_sounds,8.297,22050,FSD50K,179385.wav,CC-BY,,,,typing from FSD50K (Typing)
nature_animal_dog_0019,data/corpus/nature/animal/nature_animal_dog_0019.wav,nature,animal,dog,Bark;Dog;Domestic_animals_and_pets;Animal,13.18,22050,FSD50K,179386.wav,CC-BY,,,,dog from FSD50K (Bark)
music_percussion_percussion_0018,data/corpus/music/percussion/music_percussion_percussion_0018.wav,music,percussion,percussion,Tambourine;Percussion;Musical_instrument;Music,1.856,22050,FSD50K,1795.wav,CC-BY,,,,percussion from FSD50K (Percussion)
urban_machine_fan_0015,data/corpus/urban/machine/urban_machine_fan_0015.wav,urban,machine,fan,Mechanical_fan;Mechanisms,20.663,22050,FSD50K,17950.wav,CC-BY,,,,fan from FSD50K (Mechanical_fan)
nature_human_whisper_0007,data/corpus/nature/human/nature_human_whisper_0007.wav,nature,human,whisper,Whispering;Human_voice,27.015,22050,FSD50K,179661.wav,CC-BY,,,,whisper from FSD50K (Whispering)
nature_human_laughing_0024,data/corpus/nature/human/nature_human_laughing_0024.wav,nature,human,laughing,Giggle;Laughter;Human_voice,19.095,22050,FSD50K,179671.wav,CC-BY,,,,laughing from FSD50K (Laughter)
nature_human_speech_child_0009,data/corpus/nature/human/nature_human_speech_child_0009.wav,nature,human,speech_child,Giggle;Child_speech_and_kid_speaking;Laughter;Human_voice;Speech,12.046,22050,FSD50K,179672.wav,CC-BY,,,,speech_child from FSD50K (Child_speech_and_kid_speaking)
nature_human_breathing_0009,data/corpus/nature/human/nature_human_breathing_0009.wav,nature,human,breathing,Wind_instrument_and_woodwind_instrument;Breathing;Musical_instrument;Music;Respiratory_sounds,19.771,22050,FSD50K,179693.wav,CC-BY,,,,breathing from FSD50K (Breathing)
nature_human_breathing_0010,data/corpus/nature/human/nature_human_breathing_0010.wav,nature,human,breathing,Wind_instrument_and_woodwind_instrument;Breathing;Musical_instrument;Music;Respiratory_sounds,16.54,22050,FSD50K,179694.wav,CC-BY,,,,breathing from FSD50K (Breathing)
nature_human_breathing_0011,data/corpus/nature/human/nature_human_breathing_0011.wav,nature,human,breathing,Wind_instrument_and_woodwind_instrument;Breathing;Musical_instrument;Music;Respiratory_sounds,11.119,22050,FSD50K,179696.wav,CC-BY,,,,breathing from FSD50K (Breathing)
music_percussion_hihat_0040,data/corpus/music/percussion/music_percussion_hihat_0040.wav,music,percussion,hihat,Hi-hat;Drum;Brass_instrument;Percussion;Musical_instrument;Music;Cymbal,15.978,22050,FSD50K,179713.wav,CC-BY,,,,hihat from FSD50K (Hi-hat)
urban_human_footsteps_0028,data/corpus/urban/human/urban_human_footsteps_0028.wav,urban,human,footsteps,Walk_and_footsteps;Run,22.5,22050,FSD50K,179714.wav,CC-BY,,,,footsteps from FSD50K (Walk_and_footsteps)
music_voice_female_singing_0009,data/corpus/music/voice/music_voice_female_singing_0009.wav,music,voice,female_singing,Female_singing;Singing;Human_voice,21.258,22050,FSD50K,179928.wav,CC-BY,,,,female_singing from FSD50K (Female_singing)
urban_machine_hammer_0011,data/corpus/urban/machine/urban_machine_hammer_0011.wav,urban,machine,hammer,Hammer;Tools,19.534,22050,FSD50K,179998.wav,CC-BY,,,,hammer from FSD50K (Hammer)
nature_human_gasp_0005,data/corpus/nature/human/nature_human_gasp_0005.wav,nature,human,gasp,Gasp;Breathing;Respiratory_sounds,1.904,22050,FSD50K,180005.wav,CC-BY,,,,gasp from FSD50K (Gasp)
nature_human_burping_0015,data/corpus/nature/human/nature_human_burping_0015.wav,nature,human,burping,Burping_and_eructation;Hi-hat;Bass_drum;Cymbal;Percussion;Musical_instrument;Music;Drum;Drum_kit,28.543,22050,FSD50K,180012.wav,CC-BY,,,,burping from FSD50K (Burping_and_eructation)
nature_human_speech_male_0117,data/corpus/nature/human/nature_human_speech_male_0117.wav,nature,human,speech_male,Male_speech_and_man_speaking;Squeak;Walk_and_footsteps;Subway_and_metro_and_underground;Sliding_door;Hiss;Alarm;Speech;Human_voice;Door;Domestic_sounds_and_home_sounds;Rail_transport;Vehicle,23.968,22050,FSD50K,180174.wav,CC-BY,,,,speech_male from FSD50K (Male_speech_and_man_speaking)
nature_human_chatter_0047,data/corpus/nature/human/nature_human_chatter_0047.wav,nature,human,chatter,Chatter;Crying_and_sobbing;Human_voice;Human_group_actions,18.707,22050,FSD50K,180180.wav,CC-BY,,,,chatter from FSD50K (Chatter)
urban_machine_hammer_0012,data/corpus/urban/machine/urban_machine_hammer_0012.wav,urban,machine,hammer,Hammer;Tools,12.079,22050,FSD50K,180243.wav,CC-BY,,,,hammer from FSD50K (Hammer)
nature_animal_dog_0020,data/corpus/nature/animal/nature_animal_dog_0020.wav,nature,animal,dog,Bark;Growling;Dog;Domestic_animals_and_pets;Animal,14.891,22050,FSD50K,180257.wav,CC-BY,,,,dog from FSD50K (Bark)
nature_human_breathing_0012,data/corpus/nature/human/nature_human_breathing_0012.wav,nature,human,breathing,Breathing;Respiratory_sounds,7.767,22050,FSD50K,180334.wav,CC-BY,,,,breathing from FSD50K (Breathing)
nature_human_breathing_0013,data/corpus/nature/human/nature_human_breathing_0013.wav,nature,human,breathing,Breathing;Respiratory_sounds,3.212,22050,FSD50K,180336.wav,CC-BY,,,,breathing from FSD50K (Breathing)
nature_human_breathing_0014,data/corpus/nature/human/nature_human_breathing_0014.wav,nature,human,breathing,Breathing;Respiratory_sounds,14.44,22050,FSD50K,180338.wav,CC-BY,,,,breathing from FSD50K (Breathing)
urban_alarm_car_horn_0010,data/corpus/urban/alarm/urban_alarm_car_horn_0010.wav,urban,alarm,car_horn,Vehicle_horn_and_car_horn_and_honking;Breathing;Alarm;Car;Motor_vehicle_(road);Vehicle;Respiratory_sounds,20.598,22050,FSD50K,180339.wav,CC-BY,,,,car_horn from FSD50K (Vehicle_horn_and_car_horn_and_honking)
nature_human_burping_0016,data/corpus/nature/human/nature_human_burping_0016.wav,nature,human,burping,Burping_and_eructation,1.695,22050,FSD50K,180377.wav,CC-BY,,,,burping from FSD50K (Burping_and_eructation)
urban_impact_crack_0016,data/corpus/urban/impact/urban_impact_crack_0016.wav,urban,impact,crack,Crack,0.625,22050,FSD50K,180484.wav,CC-BY,,,,crack from FSD50K (Crack)
urban_impact_crushing_0017,data/corpus/urban/impact/urban_impact_crushing_0017.wav,urban,impact,crushing,Crushing,3.875,22050,FSD50K,180493.wav,CC-BY,,,,crushing from FSD50K (Crushing)
urban_domestic_tick_0009,data/corpus/urban/domestic/urban_domestic_tick_0009.wav,urban,domestic,tick,Tick;Clock;Mechanisms,6.361,22050,FSD50K,180520.wav,CC-BY,,,,tick from FSD50K (Tick)
urban_domestic_tick_0010,data/corpus/urban/domestic/urban_domestic_tick_0010.wav,urban,domestic,tick,Tick;Clock;Mechanisms,18.279,22050,FSD50K,180521.wav,CC-BY,,,,tick from FSD50K (Tick)
urban_domestic_clock_0004,data/corpus/urban/domestic/urban_domestic_clock_0004.wav,urban,domestic,clock,Tick-tock;Chime;Bell;Clock;Mechanisms,17.606,22050,FSD50K,180522.wav,CC-BY,,,,clock from FSD50K (Tick-tock)
urban_impact_explosion_0032,data/corpus/urban/impact/urban_impact_explosion_0032.wav,urban,impact,explosion,Fireworks;Explosion,22.635,22050,FSD50K,180530.wav,CC-BY,,,,explosion from FSD50K (Explosion)
urban_impact_explosion_0033,data/corpus/urban/impact/urban_impact_explosion_0033.wav,urban,impact,explosion,Fireworks;Explosion,3.052,22050,FSD50K,180531.wav,CC-BY,,,,explosion from FSD50K (Explosion)
nature_human_coughing_0010,data/corpus/nature/human/nature_human_coughing_0010.wav,nature,human,coughing,Fireworks;Cough;Explosion;Respiratory_sounds,18.005,22050,FSD50K,180532.wav,CC-BY,,,,coughing from FSD50K (Cough)
nature_weather_rain_0027,data/corpus/nature/weather/nature_weather_rain_0027.wav,nature,weather,rain,Rain;Water,17.923,22050,FSD50K,180536.wav,CC-BY,,,,rain from FSD50K (Rain)
urban_domestic_tick_0011,data/corpus/urban/domestic/urban_domestic_tick_0011.wav,urban,domestic,tick,Tick;Clock;Mechanisms,20.351,22050,FSD50K,180538.wav,CC-BY,,,,tick from FSD50K (Tick)
urban_domestic_cutlery_0019,data/corpus/urban/domestic/urban_domestic_cutlery_0019.wav,urban,domestic,cutlery,Cutlery_and_silverware;Dishes_and_pots_and_pans;Domestic_sounds_and_home_sounds,4.393,22050,FSD50K,180690.wav,CC-BY,,,,cutlery from FSD50K (Cutlery_and_silverware)
urban_domestic_cutlery_0020,data/corpus/urban/domestic/urban_domestic_cutlery_0020.wav,urban,domestic,cutlery,Cutlery_and_silverware;Chink_and_clink;Domestic_sounds_and_home_sounds;Glass,4.628,22050,FSD50K,180694.wav,CC-BY,,,,cutlery from FSD50K (Cutlery_and_silverware)
urban_alarm_alarm_0054,data/corpus/urban/alarm/urban_alarm_alarm_0054.wav,urban,alarm,alarm,Alarm,2.736,22050,FSD50K,180737.wav,CC-BY,,,,alarm from FSD50K (Alarm)
urban_impact_door_0006,data/corpus/urban/impact/urban_impact_door_0006.wav,urban,impact,door,Door;Wood;Domestic_sounds_and_home_sounds,22.6,22050,FSD50K,180743.wav,CC-BY,,,,door from FSD50K (Door)
nature_texture_whoosh_0007,data/corpus/nature/texture/nature_texture_whoosh_0007.wav,nature,texture,whoosh,Whoosh_and_swoosh_and_swish,0.623,22050,FSD50K,180832.wav,CC-BY,,,,whoosh from FSD50K (Whoosh_and_swoosh_and_swish)
urban_alarm_alarm_0055,data/corpus/urban/alarm/urban_alarm_alarm_0055.wav,urban,alarm,alarm,Telephone;Alarm,3.204,22050,FSD50K,180913.wav,CC-BY,,,,alarm from FSD50K (Alarm)
nature_human_sneezing_0014,data/corpus/nature/human/nature_human_sneezing_0014.wav,nature,human,sneezing,Sneeze;Respiratory_sounds,1.683,22050,FSD50K,180924.wav,CC-BY,,,,sneezing from FSD50K (Sneeze)
music_electronic_instrument_0122,data/corpus/music/electronic/music_electronic_instrument_0122.wav,music,electronic,instrument,Musical_instrument;Music,7.04,22050,FSD50K,181010.wav,CC-BY,,,,instrument from FSD50K (Musical_instrument)
nature_animal_bird_0066,data/corpus/nature/animal/nature_animal_bird_0066.wav,nature,animal,bird,Bird;Wild_animals;Animal,6.989,22050,FSD50K,181134.wav,CC-BY,,,,bird from FSD50K (Bird)
nature_animal_mammal_0034,data/corpus/nature/animal/nature_animal_mammal_0034.wav,nature,animal,mammal,Meow;Purr;Cat;Domestic_animals_and_pets;Animal,27.063,22050,FSD50K,181169.wav,CC-BY,,,,mammal from FSD50K (Cat)
nature_human_coughing_0011,data/corpus/nature/human/nature_human_coughing_0011.wav,nature,human,coughing,Cough;Respiratory_sounds,6.766,22050,FSD50K,181171.wav,CC-BY,,,,coughing from FSD50K (Cough)
